planificacion_slug,convocatoria_slug,adjudicacion_slug,precalificacion_slug,convenio_slug,nro_licitacion,nombre_licitacion,tipo_procedimiento,categoria,convocante,_etapa_licitacion,etapa_licitacion,fecha_entrega_oferta,tipo_licitacion,fecha_estimada,fecha_publicacion_convocatoria,geo,
357196-adquisicion-letrero-luminoso-plastico-1,357196-adquisicion-letrero-luminoso-plastico-3,357196-adquisicion-letrero-luminoso-plastico-1,357196-adquisicion-letrero-luminoso-plastico-1,,,357196,ADQUISICIÓN DE LETRERO LUMINOSO DE PLÁSTICO ,CD - Contratación Directa,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Policia Nacional / Ministerio del Interior / Poder Ejecutivo,ADJ,Adjudicada,2019-05-29 08:40:00,tradicional,2019-03-31 00:00:00,2019-05-22 16:24:07,
357199-construccion-bano-sexado-deposito-parque-sanitario-1,357199-mantenimiento-reparaciones-mayores-dispensarios-atencion-primaria-salud-1,,,,357199,MANTENIMIENTO Y REPARACIONES MAYORES DE DISPENSARIOS PARA ATENCIÓN PRIMARIA DE LA SALUD,CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Policia Nacional / Ministerio del Interior / Poder Ejecutivo,EVAL,En Evaluacion (Cerrada),2019-09-24 09:00:00,tradicional,2019-09-30 00:00:00,2019-09-12 14:59:58,,
357200-adquisicion-equipo-sistema-vigilancia-monitoreo-1,357200-adquisicion-equipos-sistema-vigilancia-monitoreo-1,357200-adquisicion-equipos-sistema-vigilancia-monitoreo-1,,,357200,ADQUISICIÓN DE EQUIPOS PARA SISTEMA DE VIGILANCIA Y MONITOREO,CO - Concurso de Ofertas,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Policia Nacional / Ministerio del Interior / Poder Ejecutivo,ADJ,Adjudicada,2019-07-25 09:00:00,tradicional,2019-06-30 00:00:00,2019-06-06 16:21:34,,
357204-adquisicion-equipos-oficina-accesorios-informaticos-1,357204-adquisicion-equipos-oficina-accesorios-informaticos-1,,,,357204,ADQUISICION DE EQUIPOS DE OFICINA Y ACCESORIOS INFORMATICOS,CD - Contratación Directa,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Municipalidad de Raúl Arsenio Oviedo / Municipalidades,EVAL,En Evaluacion (Cerrada),2019-04-02 07:15:00,tradicional,2019-02-28 00:00:00,2019-03-26 07:31:19,,
357205-adquisicion-servicios-reparacion-vehiculos-maquinarias-municipalidad-quiindy-provisi-1,357205-adquisicion-servicios-reparacion-vehiculos-maquinarias-municipalidad-quiindy-provisi-1,357205-adquisicion-servicios-reparacion-vehiculos-maquinarias-municipalidad-quiindy-provisi-1,,,357205,"ADQUISICION DE SERVICIOS DE REPARACION DE VEHICULOS Y MAQUINARIAS DE LA MUNICIPALIDAD DE QUIINDY, CON PROVISION DE REPUESTOS",CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Municipalidad de Quiindy / Municipalidades,ADJ,Adjudicada,2019-03-25 07:10:00,tradicional,2019-02-28 00:00:00,2019-03-11 14:04:02,,
357206-servico-mantenimiento-reparacion-lineas-telefonicas-externas-e-internas-municipalida-1,,,,,357206,"Servico de Mantenimiento, Reparación y Líneas Telefónicas Externas e Internas de la Municipalidad de Concepción",CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Municipalidad de Concepción / Municipalidades,PLAN,Planificada,,tradicional,2019-05-31 00:00:00,,,
357214-servicios-publicidad-1,357214-servicios-publicidad-1,357214-servicios-publicidad-1,,,357214,Servicios de Publicidad,CD - Contratación Directa,7 - Servicios Técnicos,Rectorado / Universidad Nacional del Este / Universidades Nacionales,ADJ,Adjudicada,2019-05-02 09:00:00,tradicional,2019-03-31 00:00:00,2019-04-23 15:38:13,,
357217-servicio-limpieza-vehiculos-1,357217-servicio-limpieza-vehiculos-1,,,,357217,SERVICIO DE LIMPIEZA DE VEHICULOS,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Direccion Nacional de Aduanas / Entes Autónomos y Autárquicos,EVAL,En Evaluacion (Cerrada),2019-09-19 09:00:00,tradicional,2019-06-30 00:00:00,2019-09-11 15:29:17,,
357221-servicio-jardineria-1,,,,,357221,SERVICIO DE JARDINERIA,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Direccion Nacional de Aduanas / Entes Autónomos y Autárquicos,PLAN,Planificada,,tradicional,2019-04-30 00:00:00,,,
357224-suscripcion-leyes-1,,,,,357224,SUSCRIPCION A LEYES,CD - Contratación Directa,7 - Servicios Técnicos,Direccion Nacional de Aduanas / Entes Autónomos y Autárquicos,PLAN,Planificada,,tradicional,2019-09-30 00:00:00,,,
357225-adquisicion-equipos-educativos-1,,,,,357225,Adquisición de equipos educativos,CD - Contratación Directa,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Rectorado / Universidad Nacional del Este / Universidades Nacionales,PLAN,Planificada,,tradicional,2019-04-30 00:00:00,,,
357226-servicio-informacion-confidencial-1,,,,,357226,SERVICIO DE INFORMACION CONFIDENCIAL,CD - Contratación Directa,7 - Servicios Técnicos,Direccion Nacional de Aduanas / Entes Autónomos y Autárquicos,PLAN,Planificada,,tradicional,2019-09-30 00:00:00,,,
357227-adquisicion-equipos-informaticos-1,357227-adquisicion-muebles-equipos-informaticos-1,357227-adquisicion-muebles-equipos-informaticos-1,,,357227,Adquisición de muebles y equipos informáticos,CO - Concurso de Ofertas,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Rectorado / Universidad Nacional del Este / Universidades Nacionales,ADJ,Adjudicada,2019-07-01 09:00:00,tradicional,2019-07-31 00:00:00,2019-06-19 12:59:11,,
357228-adquisicion-equipos-informaticos-institucion-municipal-1,357228-adquisicion-equipos-informaticos-institucion-municipal-1,,,,357228,Adquisición de equipos informáticos para la institución municipal,CD - Contratación Directa,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Municipalidad de Guarambaré / Municipalidades,EVAL,En Evaluacion (Cerrada),2019-05-28 09:15:00,tradicional,2019-03-31 00:00:00,2019-05-23 10:16:54,,
357235-mantenimiento-reparacion-maquinarias-1,357235-mantenimiento-reparacion-maquinarias-1,,,,357235,Mantenimiento y Reparacion de Maquinarias,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Municipalidad de Nueva Toledo / Municipalidades,EVAL,En Evaluacion (Cerrada),2019-02-19 07:05:00,tradicional,2019-02-28 00:00:00,2019-02-11 14:59:06,,
357236-mantenimiento-reparacion-vehiculos-seme-1,,,,,357236,Mantenimiento y Reparación de Vehículos del SEME,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo,PLAN,Planificada,,tradicional,2019-02-28 00:00:00,,,
357238-adquisicion-central-esterilizacion-simplificada-contenedores-1,,,,,357238,Adquisición de Central de Esterilización Simplificada en Contenedores,CD - Contratación Directa,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Direccion General de Salud Ambiental / Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo,PLAN,Planificada,,tradicional,2019-02-28 00:00:00,,,
357241-mantenimientos-reparaciones-camiones-volquete-marca-mercedes-benz-ford-f-14000-camio-1,357241-mantenimientos-reparaciones-camiones-volquete-marca-mercedes-benz-ford-f-14000-camio-1,357241-mantenimientos-reparaciones-camiones-volquete-marca-mercedes-benz-ford-f-14000-camio-1,,,357241,MANTENIMIENTOS Y REPARACIONES VARIAS PARA LOS CAMIONES: VOLQUETE MARCA MERCEDES BENZ Y FORD F 14000 Y CAMION COMPACTADOR MARCA MERCEDES BENZ,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Municipalidad de Capiatá / Municipalidades,ADJ,Adjudicada,2019-02-27 09:00:00,tradicional,2019-02-28 00:00:00,2019-02-19 14:04:04,,
357244-mantenimiento-reparacion-semaforos-1,357244-mantenimiento-reparacion-semaforos-1,357244-mantenimiento-reparacion-semaforos-1,,,357244,Mantenimiento y reparación de semáforos,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Municipalidad de Guarambaré / Municipalidades,ADJ,Adjudicada,2019-04-04 08:00:00,tradicional,2019-04-30 00:00:00,2019-03-27 10:20:36,,
357253-sevicio-fumigacion-control-plagas-jbza-1,,,,,357253,Sevicio de Fumigación y control de plagas para el JBZA,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Municipalidad de Asunción / Municipalidades,PLAN,Planificada,,tradicional,2019-04-30 00:00:00,,,
357254-servicio-fotografia-filmacion-eventos-varios-1,357254-servicio-fotografia-filmacion-eventos-varios-1,357254-servicio-fotografia-filmacion-eventos-varios-1,,,357254,SERVICIO DE FOTOGRAFÍA Y FILMACIÓN PARA EVENTOS VARIOS ,CD - Contratación Directa,7 - Servicios Técnicos,Comisión Nac. de Prevención contra la Tortura y Otros Tratos / Defensoría del Pueblo,ADJ,Adjudicada,2019-07-01 10:00:00,tradicional,2019-06-30 00:00:00,2019-06-11 15:54:46,,
357258-adquisicion-excavadora-oruga-1,357258-adquisicion-excavadora-oruga-1,357258-adquisicion-excavadora-oruga-1,,,357258,Adquisición de Excavadora Oruga,LPN - Licitación Pública Nacional,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Municipalidad de San Pedro del Ycuamandiyú / Municipalidades,ADJ,Adjudicada,2019-06-28 09:00:00,tradicional,2019-05-31 00:00:00,2019-06-04 14:58:20,,
357264-adquisicion-equipos-informaticos-muebles-enseres-electrodomesticos-municipalidad-nem-1,,,,,357264,"Adquisicion de Equipos informáticos, Muebles, enseres y Electrodomesticos para la Municipalidad de Ñemby",CO - Concurso de Ofertas,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Municipalidad de Ñemby / Municipalidades,PLAN,Planificada,,tradicional,2019-02-28 00:00:00,,,
357270-servicio-impresiones-1,,,,,357270,SERVICIO DE MANTENIMIENTO DE ACONDICIONADORES DE AIRE,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Secretaría Nacional Antidrogas / Presidencia de la República / Poder Ejecutivo,PLAN,Planificada,,tradicional,2019-09-30 00:00:00,,,
357272-servicio-telefonia-movil-mdp-1,357272-servicio-telefonia-movil-mdp-1,,,,357272,Servicio de Telefonia Movil para el MDP,CD - Contratación Directa,7 - Servicios Técnicos,Ministerio de la Defensa Pública - Defensoría / Poder Judicial,DES,Desierta,2019-04-23 10:00:00,tradicional,2019-01-31 00:00:00,2019-04-01 11:31:31,,
357276-mantenimiento-sistemas-incendio-1,,,,,357276,MANTENIMIENTO DE SISTEMAS CONTRA INCENDIO,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Direccion Nacional de Aduanas / Entes Autónomos y Autárquicos,PLAN,Planificada,,tradicional,2019-03-31 00:00:00,,,
357277-servicio-mantenimiento-reparaciones-menores-edificios-locales-1,357277-servicio-mantenimiento-reparaciones-menores-edificios-locales-1,357277-servicio-mantenimiento-reparaciones-menores-edificios-locales-1,,,357277,SERVICIO DE MANTENIMIENTO Y REPARACIONES MENORES DE EDIFICIOS Y LOCALES,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Direccion Nacional de Aduanas / Entes Autónomos y Autárquicos,ADJ,Adjudicada,2019-07-15 09:00:00,tradicional,2019-07-31 00:00:00,2019-05-30 17:23:32,,
357278-servicio-mantenimiento-reparaciones-vehiculos-1,357278-servicio-mantenimiento-reparaciones-vehiculos-1,357278-servicio-mantenimiento-reparaciones-vehiculos-1,,,357278,SERVICIO DE MANTENIMIENTO Y REPARACIONES DE VEHICULOS,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Direccion Nacional de Aduanas / Entes Autónomos y Autárquicos,ADJ,Adjudicada,2019-05-23 09:00:00,tradicional,2019-06-30 00:00:00,2019-03-29 16:55:44,,
357279-servicio-mantenimiento-motobomba-1,,,,,357279,SERVICIO DE MANTENIMIENTO DE MOTOBOMBA,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Direccion Nacional de Aduanas / Entes Autónomos y Autárquicos,PLAN,Planificada,,tradicional,2019-02-28 00:00:00,,,
357280-servicio-mantenimiento-scanner-maleta-1,357280-servicio-mantenimiento-scanner-maleta-1,357280-servicio-mantenimiento-scanner-maleta-1,,,357280,SERVICIO DE MANTENIMIENTO DE SCANNER DE MALETA,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Direccion Nacional de Aduanas / Entes Autónomos y Autárquicos,ADJ,Adjudicada,2019-04-08 09:00:00,tradicional,2019-03-31 00:00:00,2019-03-21 17:12:32,,
357287-servicio-mantenimiento-reparacion-aires-acondicionados-electrodomesticos-pgr-1,357287-servicio-mantenimiento-reparacion-aires-acondicionados-electrodomesticos-pgr-1,357287-servicio-mantenimiento-reparacion-aires-acondicionados-electrodomesticos-pgr-1,,,357287,Servicio de mantenimiento y reparación de aires acondicionados y electrodomésticos de la PGR,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Procuraduria General de la Republica / Presidencia de la República / Poder Ejecutivo,ADJ,Adjudicada,2019-07-01 09:00:00,tradicional,2019-03-31 00:00:00,2019-06-21 16:15:13,,
357289-servicio-mantenimiento-reparacion-impresoras-fotocopiadoras-pgr-1,357289-servicio-mantenimiento-reparacion-impresoras-fotocopiadoras-pgr-1,,,,357289,Servicio de mantenimiento y reparación de impresoras y fotocopiadoras de la PGR,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Procuraduria General de la Republica / Presidencia de la República / Poder Ejecutivo,EVAL,En Evaluacion (Cerrada),2019-07-23 09:00:00,tradicional,2019-04-30 00:00:00,2019-07-18 16:56:57,,
357293-adquisicion-desmalezadoras-1,357293-adquisicion-desmalezadoras-sopladora-1,357293-adquisicion-desmalezadoras-sopladora-1,,,357293,ADQUISICIÓN DE DESMALEZADORAS Y SOPLADORA,CD - Contratación Directa,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Municipalidad de Nueva Colombia / Municipalidades,ADJ,Adjudicada,2019-04-03 08:00:00,tradicional,2019-03-31 00:00:00,2019-03-27 10:18:06,,
357300-adquisicion-tractor-agricola-pala-frontal-nuevo-uso-1,357300-adquisicion-tractor-agricola-pala-frontal-nuevo-uso-1,357300-adquisicion-tractor-agricola-pala-frontal-nuevo-uso-1,,,357300,ADQUISICIÓN DE UN TRACTOR AGRÍCOLA CON PALA FRONTAL NUEVO SIN USO,CO - Concurso de Ofertas,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Municipalidad de Coronel Bogado / Municipalidades,ADJ,Adjudicada,2019-03-13 07:20:00,tradicional,2019-03-31 00:00:00,2019-02-27 11:59:03,,
357307-servicios-tecnicos-profesionales-mantenimiento-sistema-municipal-1,,,,,357307,Servicios Técnicos Profesionales para el Mantenimiento del Sistema Municipal,CD - Contratación Directa,7 - Servicios Técnicos,Municipalidad de San Bernardino / Municipalidades,PLAN,Planificada,,tradicional,2019-02-28 00:00:00,,,
357314-mantenimiento-equipos-medicos-radiologicos-1,,,,,357314,Mantenimiento de equipos médicos y radiológicos,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Secretaria Nacional por los Derechos Humanos de las Personas con Discapacidad / Presidencia de la República / Poder Ejecutivo,CAN,Anulada o Cancelada,,tradicional,2019-03-31 00:00:00,,,
357317-servicio-limpieza-tercerizado-1,357317-servicio-limpieza-tercerizado-1,357317-servicio-limpieza-tercerizado-1,,,357317,Servicio de limpieza tercerizado,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Secretaria Nacional por los Derechos Humanos de las Personas con Discapacidad / Presidencia de la República / Poder Ejecutivo,ADJ,Adjudicada,2019-05-03 08:30:00,tradicional,2019-03-31 00:00:00,2019-03-11 15:31:50,,
357324-adquisicion-e-instalacion-equipos-laboratorio-ciencias-basicas-35-institutos-formaci-1,,,,,357324,"Adquisición e instalación de equipos de laboratorio para Ciencias Basicas, para 35 Institutos de Formación Docente",LPN - Licitación Pública Nacional,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Ministerio de Educación y Ciencias / Poder Ejecutivo,PLAN,Planificada,,tradicional,2019-04-30 00:00:00,,,
357330-mantenimiento-equipos-acondicionadores-aire-1,357330-mantenimiento-equipos-acondicionadores-aire-1,357330-mantenimiento-equipos-acondicionadores-aire-1,,,357330,Mantenimiento de equipos de acondicionadores de aire,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Secretaria Nacional por los Derechos Humanos de las Personas con Discapacidad / Presidencia de la República / Poder Ejecutivo,ADJ,Adjudicada,2019-03-21 09:00:00,tradicional,2019-03-31 00:00:00,2019-03-12 15:52:32,,
357332-adquisicion-notebook-1,,,,,357332,Adquisición de notebook,CO - Concurso de Ofertas,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Ministerio de Educación y Ciencias / Poder Ejecutivo,PLAN,Planificada,,tradicional,2019-04-30 00:00:00,,,
357333-servicio-impresion-1,,,,,357333,Servicio de impresión,LPN - Licitación Pública Nacional,7 - Servicios Técnicos,Ministerio de Educación y Ciencias / Poder Ejecutivo,PLAN,Planificada,,tradicional,2019-07-31 00:00:00,,,
357334-servicio-mantenimiento-generador-1,,,,,357334,SERVICIO DE MANTENIMIENTO DE GENERADOR,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Caja de Jubilaciones y Pensiones de Empleados de Bancarios / Entidades Públicas de Seguridad Social,PLAN,Planificada,,tradicional,2019-03-31 00:00:00,,,
357338-servicio-mantenimiento-ups-1,357338-servicio-mantenimiento-ups-1,,,,357338,SERVICIO DE MANTENIMIENTO DE UPS,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Caja de Jubilaciones y Pensiones de Empleados de Bancarios / Entidades Públicas de Seguridad Social,CONV,En Convocatoria (Abierta),2019-10-08 10:00:00,tradicional,2019-09-30 00:00:00,2019-09-12 09:51:22,,
357341-servicio-fumigacion-1,357341-servicio-fumigacion-3,357341-servicio-fumigacion-1,357341-servicio-fumigacion-1,,,357341,Servicio de fumigación,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Secretaria Nacional por los Derechos Humanos de las Personas con Discapacidad / Presidencia de la República / Poder Ejecutivo,ADJ,Adjudicada,2019-06-06 09:00:00,tradicional,2019-05-31 00:00:00,2019-05-29 12:14:14,
357343-servicio-barrido-limpieza-1,357343-servicio-barrido-limpieza-1,357343-servicio-barrido-limpieza-1,,,357343,SERVICIO DE BARRIDO Y LIMPIEZA,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Caja de Jubilaciones y Pensiones de Empleados de Bancarios / Entidades Públicas de Seguridad Social,ADJ,Adjudicada,2019-05-22 10:00:00,tradicional,2019-03-31 00:00:00,2019-04-23 16:47:39,,
357345-servicio-mantenimiento-reparacion-vehiculos-1,,,,,357345,SERVICIO DE MANTENIMIENTO Y REPARACION DE VEHICULOS,CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Caja de Jubilaciones y Pensiones de Empleados de Bancarios / Entidades Públicas de Seguridad Social,PLAN,Planificada,,tradicional,2019-04-30 00:00:00,,,
357348-productos-e-impresiones-artes-graficas-1,357348-productos-e-impresiones-artes-graficas-1,357348-productos-e-impresiones-artes-graficas-1,,,357348,PRODUCTOS E IMPRESIONES DE ARTES GRAFICAS,LPN - Licitación Pública Nacional,7 - Servicios Técnicos,Direccion Nacional de Aduanas / Entes Autónomos y Autárquicos,ADJ,Adjudicada,2019-07-08 09:00:00,tradicional,2019-06-30 00:00:00,2019-06-14 15:44:57,,
357349-adquisicion-tintas-toner-1,357349-adquisicion-tintas-toner-1,357349-adquisicion-tintas-toner-1,,,357349,adquisicion de tintas y toner ,CD - Contratación Directa,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Jurado de Enjuiciamiento de Magistrados / Poder Judicial,ADJ,Adjudicada,2019-02-27 09:00:00,tradicional,2019-02-28 00:00:00,2019-02-12 14:49:01,,
357350-servicio-mantenimiento-motores-filtros-piscina-1,,,,,357350,SERVICIO DE MANTENIMIENTO DE MOTORES Y FILTROS DE PISCINA ,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Caja de Jubilaciones y Pensiones de Empleados de Bancarios / Entidades Públicas de Seguridad Social,PLAN,Planificada,,tradicional,2019-04-30 00:00:00,,,
357351-servicio-mantenimiento-herramientas-maquinarias-sede-social-1,,,,,357351,SERVICIO DE MANTENIMIENTO DE HERRAMIENTAS Y MAQUINARIAS DE LA SEDE SOCIAL,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Caja de Jubilaciones y Pensiones de Empleados de Bancarios / Entidades Públicas de Seguridad Social,PLAN,Planificada,,tradicional,2019-04-30 00:00:00,,,
357352-servicio-fumigacion-jurado-enjuiciamiento-magistrados-1,357352-servicio-fumigacion-jurado-enjuiciamiento-magistrados-1,357352-servicio-fumigacion-jurado-enjuiciamiento-magistrados-1,,,357352,servicio de fumigación para el Jurado de Enjuiciamiento de Magistrados,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Jurado de Enjuiciamiento de Magistrados / Poder Judicial,ADJ,Adjudicada,2019-03-13 09:30:00,tradicional,2019-02-28 00:00:00,2019-02-18 11:02:43,,
357353-adquisicion-contador-billetes-detector-billetes-falsos-1,357353-lco1030-adquisicion-contadores-billetes-detectores-billetes-falsos-impresoras-ticket-1,357353-lco1030-adquisicion-contadores-billetes-detectores-billetes-falsos-impresoras-ticket-1,,,357353,"lco1030_Adquisición de Contadores de Billetes, Detectores de Billetes Falsos, Impresoras Ticketeadoras, Lectores de Código de Barras y Calculadoras ",CO - Concurso de Ofertas,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Administración Nacional de Electricidad / Empresas Públicas,ADJ,Adjudicada,2019-05-27 08:00:00,tradicional,2019-05-31 00:00:00,2019-05-09 10:25:35,,
357355-mantenimiento-reparacion-transformadores-electricos-1,,,,,357355,MANTENIMIENTO Y REPARACION DE TRANSFORMADORES ELECTRICOS ,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Caja de Jubilaciones y Pensiones de Empleados de Bancarios / Entidades Públicas de Seguridad Social,PLAN,Planificada,,tradicional,2019-05-31 00:00:00,,,
357356-servicio-mantenimiento-canchas-1,,,,,357356,SERVICIO DE MANTENIMIENTO DE CANCHAS ,CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Caja de Jubilaciones y Pensiones de Empleados de Bancarios / Entidades Públicas de Seguridad Social,PLAN,Planificada,,tradicional,2019-04-30 00:00:00,,,
357362-auditoria-iso-9001-2015-1,357362-auditoria-iso-9001-2015-1,357362-auditoria-iso-9001-2015-1,,,357362,AUDITORIA ISO 9001:2015,CO - Concurso de Ofertas,7 - Servicios Técnicos,Direccion Nacional de Aduanas / Entes Autónomos y Autárquicos,ADJ,Adjudicada,2019-05-06 09:00:00,tradicional,2019-05-31 00:00:00,2019-04-24 16:31:59,,
357367-servicio-informes-confidenciales-1,357367-servicio-informes-confidenciales-1,357367-servicio-informes-confidenciales-1,,,357367,SERVICIO DE INFORMES CONFIDENCIALES ,CD - Contratación Directa,7 - Servicios Técnicos,Caja de Jubilaciones y Pensiones de Empleados de Bancarios / Entidades Públicas de Seguridad Social,ADJ,Adjudicada,2019-03-19 10:30:00,tradicional,2019-03-31 00:00:00,2019-03-01 14:51:22,,
357371-servicio-publicacion-1,357371-servicio-publicacion-1,357371-servicio-publicacion-1,,,357371,SERVICIO DE PUBLICACION,CO - Concurso de Ofertas,7 - Servicios Técnicos,Caja de Jubilaciones y Pensiones de Empleados de Bancarios / Entidades Públicas de Seguridad Social,ADJ,Adjudicada,2019-05-16 10:00:00,tradicional,2019-03-31 00:00:00,2019-04-23 15:43:24,,
357375-servicio-encuadernacion-documentos-1,,,,,357375,SERVICIO DE ENCUADERNACION DE DOCUMENTOS,CD - Contratación Directa,7 - Servicios Técnicos,Caja de Jubilaciones y Pensiones de Empleados de Bancarios / Entidades Públicas de Seguridad Social,PLAN,Planificada,,tradicional,2019-04-30 00:00:00,,,
357391-servicio-auditoria-externa-gestion-administrativa-financiera-aneaes-1,357391-adquisicion-equipos-informaticos-1,,,,357391,Adquisición de Equipos Informáticos,CD - Contratación Directa,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Ag. Nac. de Eval. y Acreditación de la Educación Superior / Entes Autónomos y Autárquicos,EVAL,En Evaluacion (Cerrada),2019-07-12 09:00:00,tradicional,2019-06-30 00:00:00,2019-06-27 15:46:02,,
357396-adquisicion-e-implementacion-software-1,,,,,357396,Adquisición e implementación de software educativo,LPN - Licitación Pública Nacional,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Ministerio de Educación y Ciencias / Poder Ejecutivo,PLAN,Planificada,,tradicional,2019-06-30 00:00:00,,,
